開始フレーム,終了フレーム,フォーメーション,方向,信頼度,内訳
37964,37964,1--5,right,1.0,1--5: 1
37965,38203,0--6,left,1.0,"0--6: 83, 1--5: 48, 2--4: 52, 3--3: 29, Unknown: 4"
38751,38994,1--5,right,1.0,"1--5: 194, 2--4: 14, 0--6: 2, 3--3: 5, Unknown: 18"
39524,39787,1--5,left,1.0,"1--5: 124, 2--4: 5, 3--3: 21, 0--6: 71"
40125,40128,0--6,right,1.0,0--6: 2
40134,40139,0--6,right,1.0,0--6: 5
40142,40146,0--6,right,1.0,0--6: 4
40150,40153,0--6,right,1.0,0--6: 3
40159,40171,0--6,left,1.0,0--6: 12
40173,40189,0--6,left,1.0,0--6: 15
40191,40667,1--5,left,1.0,"0--6: 156, 1--5: 198, 2--4: 39, 3--3: 24, Unknown: 7"
40668,40668,2--4,right,1.0,2--4: 1
40669,40670,2--4,left,1.0,"2--4: 1, 3--3: 1"
40671,40671,1--5,right,1.0,1--5: 1
40672,40672,1--5,left,1.0,1--5: 1
40675,40679,1--5,right,1.0,"2--4: 1, 1--5: 4"
41203,41580,0--6,left,1.0,"0--6: 135, 1--5: 113, 2--4: 48, 3--3: 26, Unknown: 24"
41581,41970,0--6,right,1.0,"2--4: 2, 0--6: 16"
41972,41985,0--6,right,1.0,0--6: 2
42281,42469,0--6,left,1.0,"3--3: 21, 1--5: 28, 0--6: 68, Unknown: 2"
42575,43048,0--6,right,1.0,"2--4: 7, 1--5: 102, 0--6: 298, 3--3: 9, Unknown: 41"
43081,43085,0--6,right,1.0,"0--6: 2, 1--5: 2"
43377,43405,0--6,right,1.0,0--6: 10
43526,43912,1--5,left,1.0,"1--5: 130, 0--6: 87, 2--4: 70, 3--3: 55, Unknown: 19"
44188,44258,0--6,right,1.0,"2--4: 17, 3--3: 17, 1--5: 15, 0--6: 22"
44260,44611,1--5,right,1.0,"1--5: 168, 2--4: 88, 0--6: 43, Unknown: 3, 3--3: 8"
44983,44996,0--6,right,1.0,0--6: 13
44998,45048,0--6,right,1.0,0--6: 47
45049,45049,0--6,left,1.0,0--6: 1
45050,45093,1--5,right,1.0,"0--6: 14, 1--5: 30"
45094,45094,0--6,left,1.0,0--6: 1
45095,45102,0--6,right,1.0,"1--5: 1, 0--6: 7"
45103,45103,0--6,left,1.0,0--6: 1
45104,45105,0--6,right,1.0,0--6: 2
45106,45106,0--6,left,1.0,0--6: 1
45107,45112,0--6,right,1.0,"0--6: 3, 1--5: 3"
45113,45113,0--6,left,1.0,0--6: 1
45114,45116,1--5,right,1.0,1--5: 3
45117,45119,1--5,left,1.0,1--5: 3
45120,45120,1--5,right,1.0,1--5: 1
45121,45122,1--5,left,1.0,1--5: 2
45123,45123,1--5,right,1.0,1--5: 1
45124,45128,1--5,left,1.0,1--5: 5
45129,45129,1--5,right,1.0,1--5: 1
45130,45357,1--5,left,1.0,"1--5: 115, 0--6: 29, 2--4: 16, 3--3: 27"
45359,45365,1--5,left,1.0,"2--4: 3, 1--5: 4"
45746,45758,1--5,right,1.0,"1--5: 6, 0--6: 1"
46454,46513,1--5,left,1.0,"1--5: 1, 2--4: 1"
46562,47287,0--6,right,1.0,"0--6: 356, 1--5: 89, 2--4: 10, 3--3: 21, Unknown: 38"
47430,47435,0--6,left,1.0,0--6: 5
47438,47443,0--6,left,1.0,0--6: 5
47445,47461,0--6,left,1.0,0--6: 16
47463,47480,0--6,left,1.0,0--6: 17
47484,47486,0--6,left,1.0,0--6: 2
47488,47496,0--6,left,1.0,0--6: 8
