開始フレーム,終了フレーム,フォーメーション,方向,信頼度,フォーメーション内訳,phase_id,manual_start,manual_end
37760,37963,2-4_left,left,0.94,"1-2-3_left: 42, 3-3_left: 34, 0-6_left: 29, 1-5_left: 42, 2-4_left: 5, 3-3_right: 42, 2-4_right: 8",15,37800,38200
37965,38442,0-6_left,left,0.94,"3-3_left: 54, 1-2-3_left: 38, 2-4_left: 44, 1-5_left: 56, 0-6_left: 30, 3-3_right: 10, 1-5_right: 3, 2-4_right: 3",15,37800,38200
38443,39285,2-4_right,right,0.9,"1-2-3_right: 64, 3-3_right: 84, 1-5_left: 12, 1-2-3_left: 16, 2-4_left: 23, 3-3_left: 68, 1-5_right: 58, 2-4_right: 80, 0-6_right: 9",16,38700,39000
39365,39808,3-3_left,left,0.94,"1-5_left: 28, 2-4_left: 103, 0-6_left: 110, 3-3_left: 12, 1-2-3_left: 21",17,39530,39800
40191,40674,2-4_left,left,0.93,"0-6_left: 116, 1-5_left: 146, 1-2-3_left: 95, 3-3_left: 69, 2-4_left: 54, 3-3_right: 2",18,40300,40700
40675,41204,1-2-3_left,right,0.91,"1-5_left: 48, 0-6_left: 8, 1-2-3_left: 13, 3-3_left: 50, 1-2-3_right: 12, 3-3_right: 51, 2-4_right: 6",18,40300,40700
40675,41204,1-2-3_left,right,0.91,"1-5_left: 48, 0-6_left: 8, 1-2-3_left: 13, 3-3_left: 50, 1-2-3_right: 12, 3-3_right: 51, 2-4_right: 6",19,41200,41600
41205,41605,1-5_left,left,0.93,"1-5_left: 63, 0-6_left: 152, 1-2-3_left: 38, 2-4_left: 60, 3-3_left: 64, 3-3_right: 9, 1-5_right: 5",19,41200,41600
42260,42491,0-6_left,left,0.92,"3-3_left: 39, 0-6_left: 39, 1-5_left: 56, 1-2-3_left: 44, 2-4_left: 15, 3-3_right: 12, 1-2-3_right: 16",20,42300,42500
42575,43085,3-3_left,right,0.92,"3-3_left: 139, 3-3_right: 110, 2-4_right: 16, 1-2-3_right: 132, 0-6_right: 15, 2-4_left: 21, 1-5_right: 2, 1-2-3_left: 15, 1-5_left: 28",21,42700,43050
43526,43904,0-6_left,left,0.94,"0-6_left: 145, 1-5_left: 45, 1-2-3_left: 74, 3-3_left: 76, 2-4_left: 18, 3-3_right: 15, 2-4_right: 5, 1-2-3_right: 1",22,43550,43900
44265,45129,3-3_right,right,0.9,"2-4_left: 62, 1-2-3_right: 104, 3-3_left: 181, 1-5_right: 38, 0-6_right: 30, 3-3_right: 63, 1-2-3_left: 15, 1-5_left: 51, 0-6_left: 7",23,44300,44600
44265,45129,3-3_right,right,0.9,"2-4_left: 62, 1-2-3_right: 104, 3-3_left: 181, 1-5_right: 38, 0-6_right: 30, 3-3_right: 63, 1-2-3_left: 15, 1-5_left: 51, 0-6_left: 7",24,45100,45400
45130,45371,0-6_left,left,0.94,"1-5_left: 76, 0-6_left: 96, 1-2-3_left: 37, 3-3_left: 8, 2-4_left: 2, 3-3_right: 11, 1-2-3_right: 11",24,45100,45400
45372,45552,1-2-3_right,right,0.8,1-2-3_right: 3,24,45100,45400
45736,46453,0-6_right,right,0.91,"1-2-3_left: 6, 3-3_right: 253, 1-2-3_right: 70, 3-3_left: 110, 2-4_right: 63, 1-5_right: 44, 0-6_right: 1",25,45750,47100
46455,46512,1-5_right,right,0.8,"1-2-3_right: 25, 3-3_left: 2, 1-5_right: 31",25,45750,47100
46514,47287,2-4_right,right,0.91,"1-5_right: 35, 3-3_left: 103, 1-2-3_right: 187, 3-3_right: 142, 2-4_right: 79, 0-6_right: 18, 2-4_left: 7, 1-2-3_left: 8, 1-5_left: 17",25,45750,47100
47288,47496,0-6_left,left,0.87,"1-5_left: 4, 3-3_right: 4, 2-4_left: 3, 3-3_left: 42, 0-6_left: 48",26,47400,48400
47498,47901,1-5_left,left,0.92,"0-6_left: 81, 1-5_left: 24, 2-4_left: 44, 1-2-3_left: 86, 3-3_left: 24, 3-3_right: 2",26,47400,48400
47903,48446,1-5_left,left,0.93,"0-6_left: 15, 1-2-3_left: 198, 2-4_left: 104, 1-5_left: 51, 3-3_left: 52, 3-3_right: 2",26,47400,48400
48840,48890,0-6_left,left,0.86,"3-3_left: 22, 2-4_left: 8, 1-5_left: 20, 0-6_left: 1",27,48800,49400
