開始フレーム,終了フレーム,フォーメーション,方向,信頼度,フォーメーション内訳
50907,51010,3-3_right,right,0.84,"3-3_left: 1, 1-2-3_left: 1, 1-5_left: 1, 3-3_right: 2"
51011,51067,2-4_left,left,0.92,"3-3_left: 9, 2-4_left: 10, 1-2-3_left: 25, 0-6_left: 9, 1-5_left: 4"
51069,51200,1-5_left,left,0.91,"0-6_left: 15, 1-2-3_left: 2, 1-5_left: 35, 3-3_left: 40, 3-3_right: 19, 1-2-3_right: 10, 0-6_right: 1, 1-5_right: 7, 2-4_right: 3"
51355,52051,2-4_right,right,0.91,"0-6_right: 9, 1-5_right: 25, 1-2-3_right: 194, 3-3_right: 206, 1-2-3_left: 20, 2-4_right: 27, 3-3_left: 67, 2-4_left: 17, 1-5_left: 3"
52052,52512,0-6_left,left,0.91,"3-3_left: 9, 1-5_left: 7, 0-6_left: 44, 2-4_left: 3, 1-2-3_left: 52, 3-3_right: 8, 1-5_right: 1"
52514,53161,1-5_left,left,0.93,"1-5_left: 137, 0-6_left: 140, 2-4_left: 40, 1-2-3_left: 33, 3-3_left: 65, 3-3_right: 28, 2-4_right: 6, 1-2-3_right: 3"
53162,53240,2-4_right,right,0.82,"3-3_left: 13, 2-4_right: 20"
53242,53554,1-2-3_left,right,0.88,"2-4_right: 27, 1-2-3_right: 16, 3-3_left: 7, 3-3_right: 81, 0-6_right: 32, 1-5_right: 51, 1-2-3_left: 2"
53556,54189,3-3_right,right,0.88,"1-5_right: 12, 1-2-3_right: 24, 0-6_right: 1, 1-2-3_left: 50, 3-3_left: 118, 2-4_left: 70, 2-4_right: 3, 3-3_right: 22, 0-6_left: 41, 1-5_left: 39"
54190,54742,3-3_left,left,0.93,"1-5_left: 112, 0-6_left: 147, 1-2-3_left: 30, 3-3_left: 19, 2-4_left: 4, 1-2-3_right: 7, 2-4_right: 8, 3-3_right: 31"
54743,56086,1-2-3_right,right,0.91,"3-3_right: 226, 3-3_left: 295, 1-2-3_right: 208, 1-5_right: 51, 2-4_right: 65, 2-4_left: 27, 1-2-3_left: 36, 0-6_right: 22, 0-6_left: 41, 1-5_left: 2"
56106,56366,1-2-3_right,right,0.88,"3-3_left: 94, 1-2-3_left: 31, 1-5_right: 15, 1-2-3_right: 10, 3-3_right: 37, 2-4_right: 3, 2-4_left: 38, 1-5_left: 8"
56367,56722,1-2-3_left,left,0.92,"1-5_left: 22, 0-6_left: 8, 1-2-3_left: 11, 3-3_left: 41, 3-3_right: 51, 2-4_right: 6, 1-2-3_right: 18, 1-5_right: 8"
56752,56838,1-5_right,left,0.8,"1-5_left: 1, 0-6_left: 1, 1-5_right: 11, 3-3_right: 10"
56840,57193,1-5_right,left,0.79,"1-5_right: 98, 1-5_left: 28, 3-3_right: 12, 3-3_left: 16, 1-2-3_right: 38, 1-2-3_left: 1, 0-6_left: 1"
57194,57469,1-2-3_left,right,0.82,"0-6_right: 26, 1-5_left: 3, 0-6_left: 1, 1-5_right: 3, 1-2-3_left: 1, 3-3_left: 1"
57471,58192,1-2-3_right,right,0.9,"1-5_right: 34, 3-3_right: 115, 1-2-3_left: 19, 0-6_right: 74, 3-3_left: 45, 2-4_right: 44, 1-2-3_right: 59, 0-6_left: 14, 2-4_left: 2, 1-5_left: 15"
58388,58599,0-6_left,left,0.93,"1-5_left: 27, 0-6_left: 77, 2-4_left: 5, 3-3_left: 28, 1-2-3_left: 28, 3-3_right: 36, 1-2-3_right: 5, 1-5_right: 2"
58638,58817,3-3_right,right,0.84,"3-3_left: 7, 0-6_right: 3, 1-5_right: 2, 3-3_right: 2"
58819,59501,2-4_right,right,0.92,"3-3_right: 141, 1-5_right: 63, 1-2-3_right: 86, 2-4_right: 109, 0-6_right: 24, 3-3_left: 31, 1-2-3_left: 20, 2-4_left: 35, 0-6_left: 7, 1-5_left: 3"
59502,59676,0-6_left,left,0.93,"1-5_right: 18, 1-2-3_right: 8, 3-3_left: 15, 0-6_left: 133, 1-5_left: 1"
59956,60255,1-2-3_left,left,0.91,"0-6_left: 25, 3-3_left: 61, 1-5_left: 23, 1-2-3_left: 57, 2-4_left: 16, 3-3_right: 10, 2-4_right: 7, 1-2-3_right: 1"
60256,61062,2-4_right,right,0.92,"3-3_left: 89, 2-4_left: 22, 3-3_right: 107, 1-5_right: 47, 0-6_right: 54, 2-4_right: 256, 1-2-3_right: 42, 1-2-3_left: 1"
61064,61269,0-6_right,right,0.8,"3-3_right: 44, 1-2-3_right: 13, 3-3_left: 55, 1-2-3_left: 22, 0-6_right: 2, 1-5_right: 28, 1-5_left: 16, 0-6_left: 9, 2-4_left: 6"
61271,61352,2-4_right,right,0.79,"1-5_right: 17, 1-5_left: 1, 2-4_right: 6, 3-3_right: 8, 1-2-3_right: 15, 3-3_left: 27, 1-2-3_left: 7"
61354,61563,0-6_left,right,0.81,"3-3_left: 68, 1-2-3_left: 21, 3-3_right: 18, 2-4_left: 14, 1-5_right: 42, 0-6_right: 6, 2-4_right: 1, 1-2-3_right: 4, 1-5_left: 13, 0-6_left: 12"
61565,61686,0-6_right,right,0.82,"1-5_right: 16, 0-6_right: 30, 1-2-3_right: 12, 1-5_left: 24, 3-3_left: 29, 2-4_left: 2, 3-3_right: 3, 2-4_right: 2"
61690,61787,1-5_right,right,0.74,"1-5_right: 14, 3-3_left: 4, 3-3_right: 5, 1-5_left: 46, 0-6_left: 27"
61789,62179,3-3_left,right,0.83,"0-6_left: 69, 1-5_left: 258, 0-6_right: 11, 1-5_right: 4, 1-2-3_left: 7, 3-3_left: 3"
62182,62698,3-3_right,right,0.8,"0-6_left: 14, 1-5_left: 11, 3-3_right: 27, 1-2-3_left: 18, 3-3_left: 13, 1-5_right: 77, 0-6_right: 14, 2-4_right: 7, 2-4_left: 2, 1-2-3_right: 17"
62701,63033,3-3_right,right,0.92,"1-5_left: 20, 3-3_left: 66, 3-3_right: 80, 1-2-3_right: 21, 2-4_left: 8, 1-2-3_left: 6, 0-6_left: 13"
